ID,Local,Num_Duplicates,Rating,Song,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5,Artist 6,Artist 7,Artist 8,Artist 9,Artist 10,Date,Spot_Date,Re_Date,Duration,Album,Popularity,Dance,Energy,Key,Volume,Mode,Speech,Acoustic,Instrumental,Lively,Valence,Tempo,URI 1,URI 2,URI 3,URI 4,URI 5,Artist URI 1,Artist URI 2,Artist URI 3,Artist URI 4,Artist URI 5,Artist URI 6,Artist URI 7,Artist URI 8,Artist URI 9,Artist URI 10
3781,No,1,No Rating,Don't Worry Baby - Remastered 2001,The Beach Boys,,,,,,,,,,1964,1964-03-02,Unknown,169933,"Shut Down, Vol. 2 (Remastered)",67,0.487,0.464,4,-9.821,1,0.03,0.0666,0.00531,0.105,0.851,121.242,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:3oDbviiivRWhXwIE8hxkVV,,,,,,,,,
3819,No,1,No Rating,Eight Days A Week - Remastered 2009,The Beatles,,,,,,,,,,1964,1964-12-04,Unknown,163600,Beatles For Sale (Remastered),68,0.652,0.583,9,-7.811,1,0.038,0.412,0,0.119,0.744,138.134,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,,,,,,,,,
4001,No,1,No Rating,Where Did Our Love Go - Stereo Version,The Supremes,,,,,,,,,,1964,1964-08-31,Unknown,151440,Where Did Our Love Go: 40th Anniversary Edition,0,0.562,0.54,0,-7.875,1,0.0365,0.803,3.86E-06,0.106,0.793,134.676,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:57bUPid8xztkieZfS7OlEV,,,,,,,,,
4000,No,1,5,Baby Love,The Supremes,,,,,,,,,,1964,1964-08-31,1964,158040,Where Did Our Love Go,70,0.595,0.643,5,-9.275,1,0.0365,0.76,0,0.538,0.73,135.633,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:57bUPid8xztkieZfS7OlEV,,,,,,,,,
648,No,1,4,Rockin' Around The Christmas Tree,Brenda Lee,,,,,,,,,,1964,1964-10-19,1964,126267,Merry Christmas From Brenda Lee,79,0.589,0.472,8,-8.749,1,0.0502,0.614,0,0.505,0.898,67.196,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:4cPHsZM98sKzmV26wlwD2W,,,,,,,,,
1843,No,2,4,I Got You (I Feel Good),James Brown & The Famous Flames,,,,,,,,,,1964,1966-01-01,1964,165800,I Got You (I Feel Good),73,0.613,0.487,7,-8.781,1,0.0935,0.412,1.02E-05,0.286,0.699,143.332,spotify:track:4VsMart0lkjUtyQnmxloK6,spotify:track:6KJQ2dUyRlevBfFwXyqecu,,,,spotify:artist:32r72WOqqRO1DtSznId7Lr,,,,,,,,,
3789,No,1,4,Can't Buy Me Love - Remastered 2015,The Beatles,,,,,,,,,,1964,2000-11-13,1964,131213,1 (Remastered),59,0.426,0.76,0,-4.082,1,0.0414,0.118,0,0.325,0.955,171.838,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,,,,,,,,,
3807,No,1,4,Can't Buy Me Love - Remastered 2009,The Beatles,,,,,,,,,,1964,1964-07-10,1964,131867,A Hard Day's Night (Remastered),68,0.483,0.677,0,-5.91,1,0.0593,0.283,0,0.321,0.842,170.72,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,,,,,,,,,
1995,No,1,3,My Favorite Things,Julie Andrews,,,,,,,,,,1964,1964-01-01,1964,137493,The Sound Of Music,1,0.525,0.264,1,-11.84,1,0.0923,0.844,0,0.183,0.648,76.29,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:5RdqZVi36tpDPYNPw8jJbO,,,,,,,,,
2808,No,1,3,Zorba the Greek: Zorba's Dance,Mikis Theodorakis,,,,,,,,,,1964,2012-01-11,1964,251653,Zorba the Greek (Remastered),48,0.564,0.385,7,-14.396,1,0.0627,0.286,0.905,0.0503,0.418,81.548,spotify:track:4VsMart0lkjUtyQnmxloK6,,,,,spotify:artist:58EvYFzDGAQOmBpIOxujnj,,,,,,,,,
