ID,Downloaded,Spotify,Remake,Remake ID,Year,Rating,Song,Artists,Artist 1,Artist 2,Artist 3,Artist 4,Artist 5,Artist 6,Artist 7,Artist 8,Artist 9,Artist 10,Artist 11,Christmas
838,,,,,,,Do The Panic,Phantom Planet,Phantom Planet,,,,,,,,,,,
839,,,,,2018,3,Do You Feel This Way (feat. Whethan),"Kailee Morgue, Whethan",Kailee Morgue,Whethan,,,,,,,,,,
840,,,,,1962,4,Do You Love Me,The Contours,The Contours,,,,,,,,,,,
841,,,,,2017,3,Does It Matter,Janieck,Janieck,,,,,,,,,,,
842,,,,,2005,4,Doesn't Remind Me,Audioslave,Audioslave,,,,,,,,,,,
843,,,,,,,Doin' it Right (feat. Panda Bear),"Daft Punk, Panda Bear",Daft Punk,Panda Bear,,,,,,,,,,
844,,,,,2006,3,Dolly Song (Ieva's Polka),Holly Dolly,Holly Dolly,,,,,,,,,,,
845,,,,,2018,3,Don’t Matter To Me (with Michael Jackson),"Drake, Michael Jackson",Drake,Michael Jackson,,,,,,,,,,
846,,,,,2010,4,Don’t Stop The Party,Black Eyed Peas,Black Eyed Peas,,,,,,,,,,,
847,,,,,2011,3,Donald Trump,Mac Miller,Mac Miller,,,,,,,,,,,
848,,,,,2018,3,Done for Me (feat. Kehlani),"Charlie Puth, Kehlani",Charlie Puth,Kehlani,,,,,,,,,,
849,,,,,2018,4,Done for Me (feat. Kehlani) - Loud Luxury Remix,"Charlie Puth, Kehlani, Loud Luxury",Charlie Puth,Kehlani,Loud Luxury,,,,,,,,,
850,,,,,2015,3,Don't,Bryson Tiller,Bryson Tiller,,,,,,,,,,,
851,,,,,1979,4,Don't Bring Me Down,Electric Light Orchestra,Electric Light Orchestra,,,,,,,,,,,
852,,,,,2019,3,Don't Call Me Up,Mabel,Mabel,,,,,,,,,,,
853,,,,,,,Don't Cha,"The Pussycat Dolls, Busta Rhymes",The Pussycat Dolls,Busta Rhymes,,,,,,,,,,
854,,,,,1976,3,Don't Go Breaking My Heart,"Elton John, Kiki Dee",Elton John,Kiki Dee,,,,,,,,,,
855,,,,,,,Don't Leave,"Snakehips, MØ",Snakehips,MØ,,,,,,,,,,
856,,,,,2018,3,Don't Leave Me Alone (feat. Anne-Marie),"David Guetta, Anne-Marie",David Guetta,Anne-Marie,,,,,,,,,,
857,,,,,,,Don't Let Me Down,"The Chainsmokers, Daya",The Chainsmokers,Daya,,,,,,,,,,
858,,,,,,,Don't Let Me Down - Illenium Remix,"The Chainsmokers, Daya, ILLENIUM",The Chainsmokers,Daya,ILLENIUM,,,,,,,,,
859,,,,,2006,3,Don't Matter,Akon,Akon,,,,,,,,,,,
860,,,,,,,Don't Mind,Kent Jones,Kent Jones,,,,,,,,,,,
861,,,,,2005,3,Don't Phunk With My Heart,Black Eyed Peas,Black Eyed Peas,,,,,,,,,,,
862,,,,,2017,4,Don't Quit (Feat. Travis Scott & Jeremih),"DJ Khaled, Calvin Harris, Travis Scott, Jeremih",DJ Khaled,Calvin Harris,Travis Scott,Jeremih,,,,,,,,
863,,,,,2020,4,Don't Slack,"Anderson .Paak, Justin Timberlake",Anderson .Paak,Justin Timberlake,,,,,,,,,,
864,,,,,1995,3,Don't Speak,No Doubt,No Doubt,,,,,,,,,,,
865,,,,,1980,2,Don't Stand So Close To Me,The Police,The Police,,,,,,,,,,,
866,,,,,2019,4,Don't Start Now,Dua Lipa,Dua Lipa,,,,,,,,,,,
867,,,,,2003,3,Don't Stay,Linkin Park,Linkin Park,,,,,,,,,,,
868,,,,,1977,3,Don't Stop,Fleetwood Mac,Fleetwood Mac,,,,,,,,,,,
869,,,,,1981,2,Don't Stop Believin',Journey,Journey,,,,,,,,,,,
870,,,,,1979,5,Don't Stop Me Now,Queen,Queen,,,,,,,,,,,
871,,,,,2015,1,Don't Stop the Madness (feat. Fatman Scoop),"Hardwell, W&W, Fatman Scoop",Hardwell,W&W,Fatman Scoop,,,,,,,,,
872,,,,,,,Don't Stop The Music,Rihanna,Rihanna,,,,,,,,,,,
873,,,,,,,Don't Stop 'Til You Get Enough - Single Version,Michael Jackson,Michael Jackson,,,,,,,,,,,
874,,,,,,,Don't Tell 'Em,"Jeremih, YG",Jeremih,YG,,,,,,,,,,
875,,,,,2004,3,Don't Tell Me,Avril Lavigne,Avril Lavigne,,,,,,,,,,,
876,,,,,,,Don't Threaten Me with a Good Time,Panic! At The Disco,Panic! At The Disco,,,,,,,,,,,
877,,,,,,,Don't Walk Away Eileen,Sam Roberts Band,Sam Roberts Band,,,,,,,,,,,
878,,,,,,,Don't Worry Baby - Remastered 2001,The Beach Boys,The Beach Boys,,,,,,,,,,,
879,,,,,1997,4,Don't Worry Be Happy,Bobby McFerrin,Bobby McFerrin,,,,,,,,,,,
880,,,,,,,Don't Worry Bout Me,Zara Larsson,Zara Larsson,,,,,,,,,,,
881,,,,,,,"don't worry, you will",lovelytheband,lovelytheband,,,,,,,,,,,
882,,,,,2015,4,Don't You Go,All Time Low,All Time Low,,,,,,,,,,,
883,,,,,,,Don't You Want Me,The Human League,The Human League,,,,,,,,,,,
884,,,,,2012,3,Don't You Worry Child,"Sweedish House Mafia, John Martin",Sweedish House Mafia,John Martin,,,,,,,,,,
885,,,,,2013,1,Double Bubble Trouble,M.I.A.,M.I.A.,,,,,,,,,,,
886,,,,,,,Douce Anarchie,Wings for Louise,Wings for Louise,,,,,,,,,,,
887,,,,,2017,3,Down,"Fifth Harmony, Gucci Mane",Fifth Harmony,Gucci Mane,,,,,,,,,,
888,,,,,2009,2,Down,"Jay Sean, Lil Wayne",Jay Sean,Lil Wayne,,,,,,,,,,
889,,,,,2017,3,Down For Me,"G-Eazy, Carnage, 24hrs",G-Eazy,Carnage,24hrs,,,,,,,,,
890,,,,,,,Down Girl,Roy Woods,Roy Woods,,,,,,,,,,,
891,,,,,,,Down In the DM,Yo Gotti,Yo Gotti,,,,,,,,,,,
892,,,,,2010,2,Down On Me,"Jeremih, 50 Cent",Jeremih,50 Cent,,,,,,,,,,
893,,,,,2012,3,Down The Road,C2C,C2C,,,,,,,,,,,
894,,,,,2000,4,Down with the Sickness,Disturbed,Disturbed,,,,,,,,,,,
895,,,,,2016,4,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)","Macklemore & Ryan Lewis, Grandmaster Melle Mel, Eric Nally, Grandmaster Caz, Kool Moe Dee",Macklemore & Ryan Lewis,Grandmaster Melle Mel,Eric Nally,Grandmaster Caz,Kool Moe Dee,,,,,,,
896,,,,,1991,4,Drain You,Nirvana,Nirvana,,,,,,,,,,,
897,,,,,1973,5,Dream On,Aerosmith,Aerosmith,,,,,,,,,,,
898,,,,,2018,5,Dreamcatcher (Feat. Swae Lee & Travis Scott),"Metro Boomin, Swae Lee, Travis Scott",Metro Boomin,Swae Lee,Travis Scott,,,,,,,,,
899,,,,,1974,2,Dreamer,Supertramp,Supertramp,,,,,,,,,,,
900,,,,,1977,4,Dreams,Fleetwood Mac,Fleetwood Mac,,,,,,,,,,,
901,,,,,2015,4,Dreams (Interlude),A$AP Rocky,A$AP Rocky,,,,,,,,,,,
902,,,,,2009,1,Dreamscape,009 Sound System,009 Sound System,,,,,,,,,,,
903,,,,,,,Drink About,"Seeb, Dagny",Seeb,Dagny,,,,,,,,,,
904,No,No,,,1997,2,Drinking in LA,Bran Van 3000,Bran Van 3000,,,,,,,,,,,
905,,,,,1999,2,Drive,Incubus,Incubus,,,,,,,,,,,
906,,,,,,,Drivin Thru the Night,Petit Biscuit,Petit Biscuit,,,,,,,,,,,
907,,,,,2018,4,Drop,"G-Eazy, Blac Youngsta, BlocBoy JB",G-Eazy,Blac Youngsta,BlocBoy JB,,,,,,,,,
908,,,,,,,Drop It Like It's Hot,"Snoop Dogg, Pharrell Williams",Snoop Dogg,Pharrell Williams,,,,,,,,,,
909,,,,,,,Drop That Low (When I Dip),Tujamo,Tujamo,,,,,,,,,,,
910,,,,,2013,3,Drop The Game,"Flume, Chet Faker",Flume,Chet Faker,,,,,,,,,,
911,,,,,,,Drops of Jupiter,Train,Train,,,,,,,,,,,
912,,,,,2017,2,Drowning (Feat. Kodak Black),"A Boogie Wit da Hoodie, Kodak Black",A Boogie Wit da Hoodie,Kodak Black,,,,,,,,,,
913,,,,,,,Drugs & The Internet - stripped - a one-take vibe,Lauv,Lauv,,,,,,,,,,,
914,No,No,,,2014,4,Drunk in Love (Diplo Remix),"Beyoncé, JAY-Z, Diplo",Beyoncé,JAY-Z,Diplo,,,,,,,,,
915,,,,,2014,3,Drunk in Love (Feat. Jay-Z),"Beyoncé, JAY-Z",Beyoncé,JAY-Z,,,,,,,,,,
916,,,,,,,DRXGS,"Yellow Claw, Sara Fajira",Yellow Claw,Sara Fajira,,,,,,,,,,
917,,,,,1987,4,Dude (Looks Like A Lady),Aerosmith,Aerosmith,,,,,,,,,,,
918,,,,,,,Dum Dee Dum,Keys N Krates,Keys N Krates,,,,,,,,,,,
919,,,,,,,Dum Dee Dum - JiKay Remix,"Keys N Krates, JiKay",Keys N Krates,JiKay,,,,,,,,,,
920,,,,,1993,3,Dumb,Nirvana,Nirvana,,,,,,,,,,,
921,,,,,,,Dumb Sh!t (with Jasiah),"WHIPPED CREAM, Jasiah",WHIPPED CREAM,Jasiah,,,,,,,,,,
922,,,,,,,Dusk Till Dawn,"ZAYN, Sia",ZAYN,Sia,,,,,,,,,,
923,,,,,1973,3,D'yer Mak'er,Led Zeppelin,Led Zeppelin,,,,,,,,,,,
924,,,,,2010,3,Dynamite,Taio Cruz,Taio Cruz,,,,,,,,,,,
925,,,,,,,E For Extinction,Thousand Foot Krutch,Thousand Foot Krutch,,,,,,,,,,,
926,,,,,2012,2,E.T.,"Katy Perry, Kanye West",Katy Perry,Kanye West,,,,,,,,,,
927,,,,,2020,2,E.T.A.,Justin Bieber,Justin Bieber,,,,,,,,,,,
928,,,,,,,Earned It (Fifty Shades Of Grey),The Weeknd,The Weeknd,,,,,,,,,,,
929,,,,,,,Ease My Mind,Skrillex,Skrillex,,,,,,,,,,,
930,,,,,2019,3,Easier (Seeb Remix),"5 Seconds of Summer, Seeb",5 Seconds of Summer,Seeb,,,,,,,,,,
931,,,,,2019,3,Easier (with Charlie Puth),"5 Seconds of Summer, Charlie Puth",5 Seconds of Summer,Charlie Puth,,,,,,,,,,
932,,,,,2017,4,East Coast,"A$AP Ferg, Remy Ma",A$AP Ferg,Remy Ma,,,,,,,,,,
933,,,,,2017,3,"East Coast REMIX (feat. Busta Rhymes, A$AP Rocky, Dave East, French Montana, Rick Ross & Snoop Dogg)","A$AP Ferg, Busta Rhymes, A$AP Rocky, Dave East, French Montana",A$AP Ferg,Busta Rhymes,A$AP Rocky,Dave East,French Montana,,,,,,,
934,,,,,2009,4,East Jesus Nowhere,Green Day,Green Day,,,,,,,,,,,
935,,,,,2018,4,Eastside (with Halsey & Khalid),"benny blanco, Halsey, Khalid",benny blanco,Halsey,Khalid,,,,,,,,,
936,,,,,2003,3,Eat You Alive,Limp Bizkit,Limp Bizkit,,,,,,,,,,,
937,,,,,2017,3,Eazy,"G-Eazy, Son Lux",G-Eazy,Son Lux,,,,,,,,,,
938,,,,,2017,3,Ego,Milky Chance,Milky Chance,,,,,,,,,,,
939,,,,,2020,4,"Ego Death (feat. Kanye West, FKA twigs & Skrillex)","Ty Dolla $ign, FKA twigs, Skrillex, Kanye West",Ty Dolla $ign,FKA twigs,Skrillex,Kanye West,,,,,,,,
940,,,,,,,Eight Days A Week,The Beatles,The Beatles,,,,,,,,,,,
941,,,,,,,Either Way (feat. Joey Bada$$),"Snakehips, Anne-Marie, Joey Bada$$",Snakehips,Anne-Marie,Joey Bada$$,,,,,,,,,
942,,,,,,,El Baile del Beeper (Version Mexico),Oro Solido,Oro Solido,,,,,,,,,,,
943,,,,,,,El Chapo,"The Game, Skrillex",The Game,Skrillex,,,,,,,,,,
944,,,,,2015,4,Electric Body,"A$AP Rocky, ScHoolboy Q",A$AP Rocky,ScHoolboy Q,,,,,,,,,,
945,,,,,2007,3,Electric Feel,MGMT,MGMT,,,,,,,,,,,
946,,,,,2007,2,Electric Feel - Justice Remix,"MGMT, Justice",MGMT,Justice,,,,,,,,,,
947,,,,,,,ELEMENT.,Kendrick Lamar,Kendrick Lamar,,,,,,,,,,,
948,,,,,,,Elevate,Papa Roach,Papa Roach,,,,,,,,,,,
949,,,,,,,Elita (feat. Michael Bublé & Sebastián Yatra),"Gary Barlow, Michael Bublé, Sebastian Yatra",Gary Barlow,Michael Bublé,Sebastian Yatra,,,,,,,,,
950,,,,,2015,3,Emergency,Icona Pop,Icona Pop,,,,,,,,,,,
951,,,,,2018,3,Emoji,Galantis,Galantis,,,,,,,,,,,
952,,,,,,,Emotions,Desired,Desired,,,,,,,,,,,
953,,,,,2009,3,Empire State Of Mind,"JAY-Z, Alicia Keys",JAY-Z,Alicia Keys,,,,,,,,,,
954,,,,,2009,3,Empire State of Mind (Part II) Broken Down,Alicia Keys,Alicia Keys,,,,,,,,,,,
955,,,,,,,Enemies,Lauv,Lauv,,,,,,,,,,,
956,,,,,2015,3,Energy,Drake,Drake,,,,,,,,,,,
957,,,,,,,Energy,"Stace Cadet, KLP",Stace Cadet,KLP,,,,,,,,,,
958,,,,,,,Enter Sandman,Metallica,Metallica,,,,,,,,,,,
959,,,,,2002,4,Enth E Nd (Kutmasta Kurt Reanimation) [feat. Motion Man],"Linkin Park, Motion Man",Linkin Park,Motion Man,,,,,,,,,,
960,,,,,2014,2,Eparrei,"Dimitri Vegas, Like Mike, Diplo",Dimitri Vegas,Like Mike,Diplo,,,,,,,,,
961,,,,,,,Epic,"Sandro Silva, Quintino",Sandro Silva,Quintino,,,,,,,,,,
962,,,,,,,E-Pro,Beck,Beck,,,,,,,,,,,
963,,,,,,,Erase Me,"Kid Cudi, Kanye West",Kid Cudi,Kanye West,,,,,,,,,,
964,,,,,,,Errrbody,Yo Gotti,Yo Gotti,,,,,,,,,,,
965,,,,,,,Esa Mujer (Bachata),Luis Vargas,Luis Vargas,,,,,,,,,,,
966,,,,,,,Esa Mujer (Chucky Santos),"Luis Vargas, Chucky Santos",Luis Vargas,Chucky Santos,,,,,,,,,,
967,,,,,,,Esa Mujer (Prod. Dante9k),"Luis Vargas, Dante9k",Luis Vargas,Dante9k,,,,,,,,,,
968,,,,,,,Escape (The Pina Colada Song),Rupert Holmes,Rupert Holmes,,,,,,,,,,,
969,,,,,,,estella//,"KennyHoopla, Travis Barker",KennyHoopla,Travis Barker,,,,,,,,,,
970,,,,,2009,4,Evacuate the Dancefloor,Cascada,Cascada,,,,,,,,,,,
971,No,No,,,,,Ever Fallen In Love,Pete Yorn,Pete Yorn,,,,,,,,,,,
972,No,No,,,,,Ever Since,"C-Dubb, Lil Wayne",C-Dubb,Lil Wayne,,,,,,,,,,
973,,,,,1983,4,Every Breath You Take,The Police,The Police,,,,,,,,,,,
974,,,,,,,Every Morning,Sugar Ray,Sugar Ray,,,,,,,,,,,
975,,,,,,,Everybody,Logic,Logic,,,,,,,,,,,
976,,,,,,,Everybody Dies In Their Nightmares,XXXTENTACION,XXXTENTACION,,,,,,,,,,,
977,,,,,,,Everybody Talks,Neon Trees,Neon Trees,,,,,,,,,,,
978,,,,,,,Everybody Wants To Rule The World,Tears For Fears,Tears For Fears,,,,,,,,,,,
979,,,,,2015,4,Everyday,"A$AP Rocky, Rod Stewart, Miguel, Mark Ronson",A$AP Rocky,Rod Stewart,Miguel,Mark Ronson,,,,,,,,
980,,,,,,,Everything,Michael Bublé,Michael Bublé,,,,,,,,,,,
981,,,,,,,Everything at Once,Lenka,Lenka,,,,,,,,,,,
982,,,,,2017,2,Everything Black,"Unlike Pluto, Mike Taylor",Unlike Pluto,Mike Taylor,,,,,,,,,,
983,,,,,2019,5,everything i wanted,Billie Eilish,Billie Eilish,,,,,,,,,,,
984,,,,,,,everything i wanted,"Lofi Fruits Music, Avocuddle, Chill Fruits Music",Lofi Fruits Music,Avocuddle,Chill Fruits Music,,,,,,,,,
985,,,,,2000,4,Everything In Its Right Place,Radiohead,Radiohead,,,,,,,,,,,
986,,,,,2017,3,Everything Now,Arcade Fire,Arcade Fire,,,,,,,,,,,
987,,,,,2006,3,Everytime We Touch,Cascada,Cascada,,,,,,,,,,,
988,,,,,2018,2,Everytime We Touch (Hardwell & Maurice West Remix),"Cascada, Hardwell, Maurice West",Cascada,Hardwell,Maurice West,,,,,,,,,
989,,,,,2008,3,Everywhere I Go,Hollywood Undead,Hollywood Undead,,,,,,,,,,,
990,,,,,2012,3,Evil Ways,Blues Saraceno,Blues Saraceno,,,,,,,,,,,
991,,,,,2015,2,Evil Ways (Justice Mix),"Blues Saraceno, Justice",Blues Saraceno,Justice,,,,,,,,,,
992,,,,,,,Ex Bitch,XXXTENTACION,XXXTENTACION,,,,,,,,,,,
993,,,,,2015,3,Exchange,Bryson Tiller,Bryson Tiller,,,,,,,,,,,
994,,,,,2015,3,Excuse Me,A$AP Rocky,A$AP Rocky,,,,,,,,,,,
995,,,,,1997,4,Exit Music (For a Film),Radiohead,Radiohead,,,,,,,,,,,
996,,,,,2020,3,Expensive (feat. Nicki Minaj),"Ty Dolla $ign, Nicki Minaj",Ty Dolla $ign,Nicki Minaj,,,,,,,,,,
997,,,,,2015,3,Ex's & Oh's,Elle King,Elle King,,,,,,,,,,,
998,,,,,2004,4,Extraordinary Girl,Green Day,Green Day,,,,,,,,,,,
999,,,,,2007,4,Eyes on Fire,Blue Foundation,Blue Foundation,,,,,,,,,,,
1000,,,,,2012,2,Ezra,Flume,Flume,,,,,,,,,,,
1001,,,,,,,F Cancer (Feat. Quavo),"Young Thug, Quavo",Young Thug,Quavo,,,,,,,,,,
1002,,,,,2019,4,F It Up,Jason Derulo,Jason Derulo,,,,,,,,,,,
1003,,,,,2016,3,F U Till I F U (feat. Cass),"Call Me Karizma, Cass",Call Me Karizma,Cass,,,,,,,,,,
1004,,,,,2013,4,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)","A$AP Rocky, Drake, 2 Chainz, Kendrick Lamar",A$AP Rocky,Drake,2 Chainz,Kendrick Lamar,,,,,,,,
1005,,,,,,,F*ck Your Ethnicity,Kendrick Lamar,Kendrick Lamar,,,,,,,,,,,
1006,,,,,,,Face Down,The Red Jumpsuit Apparatus,The Red Jumpsuit Apparatus,,,,,,,,,,,
1007,,,,,2005,4,FACK,Eminem,Eminem,,,,,,,,,,,
1008,,,,,2016,4,Fade,Kanye West,Kanye West,,,,,,,,,,,
1009,,,,,2014,2,Fade,Alan Walker,Alan Walker,,,,,,,,,,,
1010,,,,,,,Fade Away,Logic,Logic,,,,,,,,,,,
1011,,,,,2020,5,Faded,"Coopex, BRAN, Lunis",Coopex,BRAN,Lunis,,,,,,,,,
1012,,,,,2015,3,Faded,Alan Walker,Alan Walker,,,,,,,,,,,
1013,,,,,,,Faded,Sickick,Sickick,,,,,,,,,,,
1014,,,,,,,Faded,ZHU,ZHU,,,,,,,,,,,
1015,,,,,,,Faget,Korn,Korn,,,,,,,,,,,
1016,,,,,2003,3,Faint,Linkin Park,Linkin Park,,,,,,,,,,,
1017,,,,,2014,3,Fairytale,Milky Chance,Milky Chance,,,,,,,,,,,
1018,,,,,,,Fake Chanel,"Yellow Claw, A$AP Ferg, Creek Boyz",Yellow Claw,A$AP Ferg,Creek Boyz,,,,,,,,,
1019,,,,,,,fake friend,"nothing,nowhere.","nothing,nowhere.",,,,,,,,,,,
1020,,,,,,,Fake It,Seether,Seether,,,,,,,,,,,
1021,,,,,2017,4,Fake Love,Drake,Drake,,,,,,,,,,,
1022,,,,,2006,5,Fallen Leaves,Billy Talent,Billy Talent,,,,,,,,,,,
1023,,,,,2001,4,Fallin',Alicia Keys,Alicia Keys,,,,,,,,,,,
1024,,,,,,,Falling,Trevor Daniel,Trevor Daniel,,,,,,,,,,,
1025,,,,,,,Falling Apart,zebrahead,zebrahead,,,,,,,,,,,
1026,,,,,,,Falling Away from Me,Korn,Korn,,,,,,,,,,,
1027,,,,,,,Falling Down,"Lil Peep, XXXTENTACION",Lil Peep,XXXTENTACION,,,,,,,,,,
1028,,,,,1980,2,Fame,Irene Cara,Irene Cara,,,,,,,,,,,
1029,,,,,,,Family Affair,Mary J. Blige,Mary J. Blige,,,,,,,,,,,
1030,,,,,2016,3,Famous,Kanye West,Kanye West,,,,,,,,,,,
1031,,,,,,,Famous Dex Japan (Freestyle),"Juice WRLD, Famous Dex",Juice WRLD,Famous Dex,,,,,,,,,,
1032,,,,,2006,2,Famous Last Words,My Chemical Romance,My Chemical Romance,,,,,,,,,,,
1033,,,,,2014,3,Fancy,"Iggy Azalea, Charli XCX",Iggy Azalea,Charli XCX,,,,,,,,,,
1034,,,,,,,Far,Lil Xan,Lil Xan,,,,,,,,,,,
1035,,,,,2014,3,Far Alone (feat. E-40 & Jay Ant),"G-Eazy, E-40, Jay Ant",G-Eazy,E-40,Jay Ant,,,,,,,,,
1036,,,,,,,Far Away,Nickelback,Nickelback,,,,,,,,,,,
1037,,,,,2013,3,Fashion Killa,A$AP Rocky,A$AP Rocky,,,,,,,,,,,
1038,,,,,,,Fast and Furious,"Lil Yandere, Lil Yung Mustrd",Lil Yandere,Lil Yung Mustrd,,,,,,,,,,
1039,,,,,2015,5,Fast Car,"Jonas Blue, Dakota",Jonas Blue,Dakota,,,,,,,,,,
1040,,,,,,,Fast Car,Tracy Chapman,Tracy Chapman,,,,,,,,,,,
1041,,,,,1978,4,Fat Bottomed Girls,Queen,Queen,,,,,,,,,,,
1042,,,,,,,Fat Lip,Sum 41,Sum 41,,,,,,,,,,,
1043,,,,,2016,3,Father Stretch My Hands Pt. 1,Kanye West,Kanye West,,,,,,,,,,,
1044,,,,,,,Faucet Failure,Ski Mask The Slump God,Ski Mask The Slump God,,,,,,,,,,,
1045,,,,,,,Favorite,"TroyBoi, Healthy Chill",TroyBoi,Healthy Chill,,,,,,,,,,
1046,,,,,2011,4,Feed The Machine,Red,Red,,,,,,,,,,,
1047,,,,,2005,3,Feel Good Inc.,Gorillaz,Gorillaz,,,,,,,,,,,
1048,,,,,,,Feel Invincible,Skillet,Skillet,,,,,,,,,,,
1049,,,,,,,Feel It Still,Portugal. The Man,Portugal. The Man,,,,,,,,,,,
1050,,,,,1975,4,Feel like Makin' Love,Bad Company,Bad Company,,,,,,,,,,,
1051,,,,,2012,3,Feel So Close,Calvin Harris,Calvin Harris,,,,,,,,,,,
1052,,,,,,,Feel This Moment (feat. Christina Aguilera),"Pitbull, Christina Aguilera",Pitbull,Christina Aguilera,,,,,,,,,,
1053,,,,,,,Feeling Good,Michael Bublé,Michael Bublé,,,,,,,,,,,
1054,,,,,2020,3,FEELING GUD,"NGHTMRE, SLANDER, Matthew Santos",NGHTMRE,SLANDER,Matthew Santos,,,,,,,,,
1055,,,,,2018,3,Feeling of Falling,"Cheat Codes, Kim Petras",Cheat Codes,Kim Petras,,,,,,,,,,
1056,,,,,2003,4,Feeling This,blink-182,blink-182,,,,,,,,,,,
1057,,,,,2017,5,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris, Pharrell Williams, Katy Perry, Big Sean",Calvin Harris,Pharrell Williams,Katy Perry,Big Sean,,,,,,,,
1058,,,,,2018,3,Feels Like Summer,Childish Gambino,Childish Gambino,,,,,,,,,,,
1059,,,,,2012,4,Feels Like We Only Go Backwards,Tame Impala,Tame Impala,,,,,,,,,,,
1060,,,,,2018,4,FEFE (Feat. Nicki Minaj & Murda Beatz),"6ix9ine, Nicki Minaj, Murda Beatz",6ix9ine,Nicki Minaj,Murda Beatz,,,,,,,,,
1061,,,,,2006,3,Fergalicious,"Fergie, will.i.am",Fergie,will.i.am,,,,,,,,,,
1062,,,,,1976,3,Fernando,ABBA,ABBA,,,,,,,,,,,
1063,,,,,2018,3,Ferrari,Bebe Rexha,Bebe Rexha,,,,,,,,,,,
1064,,,,,2001,2,Festival Song,Good Charlotte,Good Charlotte,,,,,,,,,,,
1065,,,,,,,Fetish (feat. Gucci Mane),"Selena Gomez, Gucci Mane",Selena Gomez,Gucci Mane,,,,,,,,,,
1066,,,,,,,Fever,The Black Keys,The Black Keys,,,,,,,,,,,
1067,,,,,2003,3,"Fiesta (feat. Jay-Z, Boo & Gotti) - Remix","R. Kelly, JAY-Z, Boo Gotti",R. Kelly,JAY-Z,Boo Gotti,,,,,,,,,
1068,,,,,1986,3,Fight For Your Right,Beastie Boys,Beastie Boys,,,,,,,,,,,
1069,,,,,1986,3,Fight For Your Right,Bestie Boys,Bestie Boys,,,,,,,,,,,
1070,,,,,,,Fight Night,Migos,Migos,,,,,,,,,,,
1071,,,,,2003,4,Figure.09,Linkin Park,Linkin Park,,,,,,,,,,,
1072,,,,,,,Final Song - Diplo & Jauz Remix,"MØ, Diplo, Jauz",MØ,Diplo,Jauz,,,,,,,,,
1073,,,,,,,Find an Island,BENEE,BENEE,,,,,,,,,,,
1074,,,,,2019,3,Find U Again (feat. Camila Cabello),"Mark Ronson, Camila Cabello",Mark Ronson,Camila Cabello,,,,,,,,,,
1075,,,,,2010,4,Find Your Love,Drake,Drake,,,,,,,,,,,
1076,,,,,2009,3,Fire,Kasabian,Kasabian,,,,,,,,,,,
1077,,,,,,,Fire,KIDS SEE GHOSTS,KIDS SEE GHOSTS,,,,,,,,,,,
1078,,,,,,,Fire,Peking Duk,Peking Duk,,,,,,,,,,,
1079,,,,,,,Fire Burning,Sean Kingston,Sean Kingston,,,,,,,,,,,
1080,,,,,2016,2,Fire Emoji,Jay-Way,Jay-Way,,,,,,,,,,,
1081,,,,,,,Fire It Up,Thousand Foot Krutch,Thousand Foot Krutch,,,,,,,,,,,
1082,,,,,2014,2,Fire Squad,J. Cole,J. Cole,,,,,,,,,,,
1083,,,,,,,Fireball (feat. John Ryan),"Pitbull, John Ryan",Pitbull,John Ryan,,,,,,,,,,
1084,,,,,,,Firestone,"Kygo, Conrad Sewell",Kygo,Conrad Sewell,,,,,,,,,,
1085,,,,,2012,2,Firework,Katy Perry,Katy Perry,,,,,,,,,,,
1086,,,,,2001,4,First Date,blink-182,blink-182,,,,,,,,,,,
1087,,,,,,,First Of The Year (Equinox),Skrillex,Skrillex,,,,,,,,,,,
1088,,,,,2019,2,First Things First (feat. G-Eazy and Reo Cragun),"Guapdad 4000, G-Eazy, Reo Cragun",Guapdad 4000,G-Eazy,Reo Cragun,,,,,,,,,
1089,,,,,,,First Time,"Kygo, Ellie Goulding",Kygo,Ellie Goulding,,,,,,,,,,
1090,,,,,2015,3,Five Hours,Deorro,Deorro,,,,,,,,,,,
1091,,,,,2015,4,Five More Hours,"Deorro, Chris Brown",Deorro,Chris Brown,,,,,,,,,,
1092,,,,,,,Fix You,Coldplay,Coldplay,,,,,,,,,,,
1093,,,,,,,Fix You,"Lofi Fruits Music, Formal Chicken",Lofi Fruits Music,Formal Chicken,,,,,,,,,,
1094,,,,,2014,2,Flashed Junk Mind,Milky Chance,Milky Chance,,,,,,,,,,,
1095,,,,,,,Flexicution,Logic,Logic,,,,,,,,,,,
1096,,,,,,,Float On,Modest Mouse,Modest Mouse,,,,,,,,,,,
1097,,,,,1999,3,Flower (B-Sides),Moby,Moby,,,,,,,,,,,
1098,,,,,,,Fly,Sugar Ray,Sugar Ray,,,,,,,,,,,
1099,,,,,,,Fly Away,Lenny Kravitz,Lenny Kravitz,,,,,,,,,,,
1100,,,,,2017,3,Fly Kicks (Wax Motif Remix),"Ac Slater, Chris Lorenzo, Wax Motif",Ac Slater,Chris Lorenzo,Wax Motif,,,,,,,,,
1101,,,,,2020,4,Fly Me To The Moon,"Avocuddle, Strange Fruits Music, Fets",Avocuddle,Strange Fruits Music,Fets,,,,,,,,,
